Date,Open,High,Low,Close,Adj Close,Volume
1998-01-20,77.812500,78.843750,77.406250,78.812500,47.653816,1744600
1998-01-21,78.093750,78.375000,77.281250,77.843750,47.068047,1839600
1998-01-22,77.187500,77.859375,76.937500,77.187500,46.671265,1662600
1998-01-23,77.500000,77.750000,76.312500,77.000000,46.557903,1693700
1998-01-26,77.375000,77.671875,76.937500,77.312500,46.746853,1172800
1998-01-27,77.125000,78.562500,77.078125,78.218750,47.294804,1454500
1998-01-28,78.375000,79.234375,78.218750,79.125000,47.842773,1181200
1998-01-29,79.062500,80.250000,78.890625,79.406250,48.012787,1468500
1998-01-30,79.937500,79.937500,78.968750,79.234375,47.908924,1095600
1998-02-02,80.625000,81.312500,80.406250,81.015625,48.985928,955600
1998-02-03,81.000000,81.671875,80.656250,81.656250,49.373264,619400
1998-02-04,81.218750,81.656250,80.812500,81.218750,49.108784,753200
1998-02-05,81.812500,81.906250,80.734375,81.234375,49.118221,1067600
1998-02-06,81.500000,82.171875,81.359375,82.109375,49.647270,1069700
1998-02-09,82.093750,82.250000,81.437500,81.781250,49.448811,515900
1998-02-10,82.031250,83.343750,81.921875,83.156250,50.280231,892100
1998-02-11,82.968750,83.390625,82.843750,83.156250,50.280231,515000
1998-02-12,82.734375,84.109375,82.375000,83.687500,50.601440,1065000
1998-02-13,83.343750,83.843750,83.171875,83.640625,50.573139,596700
1998-02-17,84.312500,84.718750,83.890625,84.062500,50.828217,840600
1998-02-18,84.078125,84.703125,83.843750,84.625000,51.168316,773000
1998-02-19,84.640625,84.703125,83.828125,83.828125,50.686516,804800
1998-02-20,84.078125,84.468750,83.312500,84.281250,50.960495,540600
1998-02-23,85.000000,85.000000,83.968750,84.250000,50.941586,639200
1998-02-24,84.125000,84.406250,83.531250,84.000000,50.790466,702700
1998-02-25,84.250000,85.156250,84.078125,84.687500,51.206100,687400
1998-02-26,84.609375,85.218750,84.406250,85.156250,51.489582,439800
1998-02-27,85.109375,85.953125,84.890625,85.593750,51.754078,451300
1998-03-02,85.750000,85.859375,85.281250,85.718750,51.829639,1062800
1998-03-03,85.218750,86.125000,85.187500,86.109375,52.065857,596600
1998-03-04,85.625000,85.875000,85.109375,85.531250,51.716290,691700
1998-03-05,84.500000,85.265625,84.218750,84.781250,51.262821,778300
1998-03-06,85.093750,86.031250,85.093750,86.031250,52.018639,933100
1998-03-09,85.625000,86.578125,85.593750,85.875000,51.924152,685300
1998-03-10,86.375000,86.750000,86.156250,86.718750,52.434292,563700
1998-03-11,86.937500,87.234375,86.734375,87.000000,52.604397,406600
1998-03-12,86.937500,87.062500,86.312500,86.890625,52.538231,576700
1998-03-13,87.187500,87.250000,86.093750,86.156250,52.094193,458900
1998-03-16,86.562500,87.468750,86.343750,87.468750,52.887772,733000
1998-03-17,87.281250,87.781250,87.078125,87.765625,53.067287,499900
1998-03-18,87.593750,88.015625,87.281250,87.984375,53.199554,410900
1998-03-19,88.000000,88.296875,87.843750,88.234375,53.350719,730000
1998-03-20,88.562500,89.406250,88.281250,89.156250,53.908119,754300
1998-03-23,89.187500,89.187500,88.390625,88.484375,53.501919,551600
1998-03-24,88.968750,89.859375,88.921875,89.437500,54.078224,470300
1998-03-25,90.062500,90.062500,88.250000,88.875000,53.738041,966200
1998-03-26,88.843750,89.296875,88.515625,88.625000,53.586941,412800
1998-03-27,89.343750,89.406250,87.875000,88.265625,53.369656,584100
1998-03-30,88.281250,88.562500,87.687500,88.156250,53.303459,562400
1998-03-31,88.468750,89.312500,88.062500,88.187500,53.322399,620000
1998-04-01,88.359375,89.203125,87.718750,88.937500,53.775806,373700
1998-04-02,88.906250,90.250000,88.828125,90.156250,54.512787,440600
1998-04-03,90.250000,90.578125,89.812500,90.093750,54.475033,493300
1998-04-06,90.875000,91.250000,90.343750,90.375000,54.645054,610500
1998-04-07,90.375000,90.390625,89.250000,89.890625,54.352146,707300
1998-04-08,90.062500,90.062500,88.828125,89.281250,53.983662,949500
1998-04-09,89.656250,90.468750,89.625000,90.375000,54.645054,451700
1998-04-13,90.734375,90.734375,89.562500,90.343750,54.626194,337900
1998-04-14,90.531250,91.515625,90.531250,91.437500,55.287498,451500
1998-04-15,91.656250,92.015625,91.203125,92.015625,55.637043,261800
1998-04-16,91.703125,91.703125,90.796875,91.062500,55.060749,232800
1998-04-17,90.734375,91.750000,90.578125,91.703125,55.655899,382900
1998-04-20,91.593750,91.656250,91.000000,91.296875,55.409355,299400
1998-04-21,91.250000,91.921875,90.968750,91.906250,55.779152,372000
1998-04-22,91.859375,92.109375,91.687500,91.843750,55.741249,503400
1998-04-23,91.718750,92.031250,91.109375,91.312500,55.418816,597700
